Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
child0YY79A2gen18,353.206,3781.0827,24987930.69,1651.463655,3.145777322,,
childGUE6XJ6gen18,354.915,3795.2415,24803838.92,1651.48643,3.155022219,,
childHR6Y3PPgen19,356.5035,3817.5777,24752125.14,1651.540774,3.166122683,,
childDTW3ZP7gen19,355.4375,3823.2234,24876170.46,1651.60889,3.164313676,,
childSZODT4Agen15,352.3175,3813.5052,24965794.59,1651.721158,3.151848271,,
childEUQ22SMgen17,353.161,3790.2456,24503967.89,1651.98675,3.14816232,,
childW7J3EYQgen15,352.236,3790.386,24861220.41,1652.081723,3.145294697,,
childNV9TKW4gen19,355.9575,3806.8083,24572587.03,1653.148441,3.161538061,,
childITEM9NPgen16,355.6865,3819.3147,24677432.39,1653.189147,3.164102773,,
child5WI88UYgen18,355.7515,3810.3957,24712205.49,1653.223583,3.161873108,,
childXG0I1Z0gen14,350.716,3806.3286,24941590.73,1653.36725,3.14492566,,
childNNDQXUBgen18,354.1045,3790.0638,24792613.91,1653.369399,3.151145217,,
childDE9Y76Qgen17,349.7835,3798.8982,24997871.77,1653.431773,3.139965452,,
childZK0HJITgen16,352.084,3784.6458,24838930.82,1653.484555,3.143313723,,
childKXWQR7Ngen17,353.2135,3773.4111,24441584.64,1653.721491,3.143810288,,
childM8KLG5Rgen14,351.0485,3799.4193,24867708.66,1654.194081,3.144123152,,
childOJ2VTXSgen19,355.2245,3796.1739,24766195.54,1654.499198,3.156390055,,
childQQBLBZ0gen16,352.6555,3803.1768,24831021.7,1655.152158,3.150249817,,
childXB4EF8Tgen15,351.925,3798.3654,24831083.24,1655.187117,3.146639047,,
childKWJUENRgen13,352.519,3777.9273,24884652.07,1655.215583,3.142927662,,
childAFEO529gen15,353.335,3785.2092,24934599.7,1656.917454,3.147562502,,
childI8GPOZWgen13,355.055,3813.1956,24931453.96,1657.224805,3.160631481,,
